Job_Role,Company,Location,Skills/Description,Min Experience,Max Experience
Urjent Data Analyst,KD Group of Industries,Ghaziabad,"Analytical skills, Automation, Data analysis, Excel, Programming, Data Analyst, Macros, Analytics",1.0,5.0
Application Data Base Analyst,Colruyt IT Consultancy India Pvt. Ltd.,Hyderabad,"IT Skills, Software Development, DBA, Oracle, Data dictionary, Analyst, Application design, Project development",3.0,7.0
Data Analyst,mycitynagpur,Nagpur,"Help Desk, Customer Service, data analysis, customer relationship, access controls, Telephony support, Asset Management, Vendor Management",1.0,4.0
"Financial, Data Modeling & Research Analyst",ePaisa - enabling commerce,Mumbai,"English, Data modeling, Billing, Tools, Stores, Business intelligence, Cards, Microsoft Excel",4.0,5.0
Data Analyst (Energy Domain),ENERGY EXEMPLAR INDIA PRIVATE LIMITED,Pune,"energy market, IT Skills, Python, Cloud, Power BI, excel, oil, data analysis",1.0,4.0
Banking . Data and Documents Analyst,Citco,Hyderabad/Secunderabad,"Career development, Data analysis, Due diligence, Excel, Online banking, Corporate governance, data integrity, Internet banking",3.0,7.0
Data Analyst,Enest Services,Mohali,"IT services, Business objects, SAS, Data collection, Javascript, SPSS, Information management, Data mining",1.0,4.0
Data Analyst - Financial Divisions,ARDEM Data Services Private Limited,Lucknow,"Application Development, Excel, Typing Speed, Accounting, Expenses, Ms Office, Data Analysis, Payments",2.0,8.0
Data Analyst,mycitynagpur,Nagpur,"OMC, data reporting, Data Analyst, MIS generation",1.0,4.0
Data Research Analyst,Roverpath ITES pvt Ltd,Pune,"Typing speed, Data Research Analyst, Research",8.0,13.0
Data analyst,Quinbay Technology,Coimbatore,"Product management, Data modeling, Process development, Business modeling, Advanced Excel, Macros, Analytics, SQL",2.0,7.0
Data Support Analyst,Vichara Technologies,Delhi / NCR,"sql support, Data Analyst, SQL, Communication, pivot tables, MS - Excel, SQL Server, data support",3.0,6.0
Recruiting System & Data Analyst,Airbnb,Gurgaon/Gurugram,"Data Transformation, Data Structures, Data Management, Data Analysis, Data Visualization, Data Analyst, Tableau, Analytics",2.0,7.0
Data Analyst,Malbro appliances Pvt. ltd,New Delhi(Udyog Nagar),"Excel, Accounting, Data Analysis, data audit, CRM",1.0,4.0
Category Manager/ Data Analyst,Russet Studio,Mumbai,"Procurement, Analyst, Excel, Sales, Analytical, Sales analysis, E-commerce, Customer service",2.0,5.0
Data Management Analyst,Micron Tech,Hyderabad/Secunderabad,"Data Management, Analyst, data quality, developing, monitoring, audits",6.0,9.0
Analyst - Data Security,M&amp;G plc,Mumbai,"remediation, Business transformation, Security management, data security, Management consulting, Actuarial, Customer service, Management",1.0,5.0
Analyst - Data Security,MG GLOBAL,Mumbai,"remediation, Business transformation, Security management, data security, Management consulting, Actuarial, Customer service, Management",3.0,4.0
Data Analyst,Snaphunt,Gurgaon/Gurugram,"analytics, data quality, data analysis, IT Skills, Quality Assurance, Data Science, quality improvement, business analysis",1.0,4.0
Data Analyst,Diverse Lynx,Chennai,"Data Analysis, Hadoop, SQL Server, Data Mapping, Data Profiling, Oracle, DWH, Data modelling",2.0,5.0
"Business Intelligence, Data Analyst",T & A Solutions,Mumbai,"Data modeling, Data Analyst, Data mining, Business intelligence, big data, Quantitative analysis",4.0,6.0
Data Analyst,Kline & Company,Hyderabad,"Computer science, Excel, Data management, Business analytics, Consulting, Data collection, Market research, PLSQL",2.0,3.0
Spend and Master Data Analyst,Pcura Consulting Pvt. Ltd,Mumbai,"assembly language, website, C, HTML, ajax, javascript, jquery, SQL",1.0,6.0
Data Analyst,Reubro,"Kochi, Cochin/ Kochi/ Ernakulam","IT Skills, Data Science, DBA, Big Data, data management, chaid, statistical techniques, data mining",1.0,6.0
Data Analyst,UniqLeads,Kochi,"Direct marketing, Excel, Sales, Web technologies, Project management, Marketing planning, Data Analyst, Resource management",3.0,7.0
Data Analyst - Workforce Management Planning,TTEC,Ahmedabad,"Analyst, Data analysis, Workforce management, Staffing, Time management, Process improvement, Workforce planning, Scheduling",4.0,6.0
Data Analyst - Workforce Management Planning,TTEC,Mumbai,"Analyst, Data analysis, Workforce management, Staffing, Process improvement, SMS, Scheduling, Data Analyst",1.0,5.0
Customer Data Analyst- Marketing,Vitamins Direct Services Private Limited,Mumbai(SEEPZ),"Customer Analysis, Excel Dashboards, Excel Macros, Business Analysis, BPO, data analysis, marketing data analysis, Excel",5.0,10.0
Data Analyst,Reubro,Kochi,"data management, chaid, statistical techniques, data mining, documentation, segmentation, analytical techniques, clustering",1.0,3.0
Data Analyst,Diverse Lynx,Chennai,"Master data management, Data integration, Data warehousing, SQL queries, IT Skills, Big Data, Data Analyst, Investment banking",1.0,3.0
Alteryx Data Analyst,dotsolved,Chennai,"Alteryx Tableau, SOX, data reconciliation, Alteryx, US GAAP, Power BI, SQL, NetSuite",4.0,8.0
Data Analyst,DecisionTree Analytics and Services Private Limited,Gurgaon,"verbal, MS SQL, analysis, PostGreSQL, data mining, written communication, MySQL, Business Analytics",1.0,4.0
MIS Executive and Data Analyst,Stan Professionals Private Limited,New Delhi(Connaught Place),"Excel, Email Etiquette, SUMIF, Countif, Concatenate, VLOOKUP, Conditional Formatting, Pivot",2.0,5.0
Data Analyst,Onward Technologies Limited,Pune,"Excel, Word, Data Mining, Data Analyst, Sharepoint, analytical, written communication, Informatica",8.0,10.0
IT-Data Analyst,AMNEAL PHARMACEUTICALS PRIVATE LIMITED,Ahmedabad(Prahlad Nagar),"web services, sas, json, javascript, sql, python, data analytics, web technologies",2.0,7.0
Data Analyst,Galytix,Gurgaon,"Analytical, Finance, Data quality, Data Analyst, Financial Analyst",2.0,3.0
Data Analyst,Dropthought,Chennai,"Tibco Spotfire, data visualization, ETL frameworks, Microsoft Excel, Excel, SQL, data mining, analytical",1.0,4.0
Data Analyst,WalbroSoft,Nagpur,"Excel, Internet research, Data collection, Data Analyst, Management, MS Office, Powerpoint, Data Entry Operator",2.0,5.0
Data Analyst,Z2Plus Placement & Security Agency Pvt. Ltd.,Panaji/Panjim,"Supply chain, Data modeling, Project management, SSRS, Business excellence, data visualization, SSIS, Business intelligence",1.0,3.0
Data Science NLP Analyst,Prodigal,Mumbai,"Data Science, Ai / Ml, Nlp, Algorithms, Financial Services, Data Manipulation, Artificial Intelligence, Natural Language Processing",3.0,8.0
Data Analyst,"SAGE IT, INC","Mumbai, Pune","data Analysis, Visio, Lucid, Business process, Sales, Architecture, Broadcasting, Data Analyst",2.0,5.0
Reporting and Data Analyst - Product,BUZZBOARD INC,Hyderabad/Secunderabad,"Analytical skills, MIS reporting, Data analysis, Automation, data integrity, Advanced Excel, Manager Quality Control, Macros",2.0,5.0
Data and Imaging Analyst II - Opportunities,STRING REAL ESTATE INFORMATION SERVICES,Mumbai,"T-SQL, PDF, Analytical, MySQL, Analyst II, MS Office, Operations, Business operations",2.0,5.0
Data Analyst,NetCreativeMind Solutions Private Limited,Delhi,"Communication, PowerPoint, BI tool, Excel Powerpoint, Excel, SQL, MSFT Word, Query Database",3.0,5.0
Data Analyst,CVM Solutions,Hyderabad/Secunderabad,"data analysis, ETL, SQL Server, analytical, MS Office, RDBMS, verbal, Excel",4.0,6.0
Data Analyst,Pleasant Inc.,Surat,"development, c, dom, software, sponsorship, pay, Data Analyst, Management",2.0,5.0
Data Analyst,Multi Recruit,Chennai,"data cleansing, Assurance, metadata, Data modeling, Application programming, Consulting, Data Analyst, data integrity",3.0,5.0
Data Analyst,Reubro,Kochi,"IT Skills, Data Science, DBA, Big Data, data management, chaid, statistical techniques, data mining",3.0,5.0
Data Analyst,Yashraj Biotechnology Ltd,Navi Mumbai,"Machine Learning, Data Analysis, Tally, Tableau, SQL, Minitab, Excel, Data Visualization",5.0,8.0
Data Analyst,FIGMD,Pune,"JIRA, HIPAA, Allscripts, EHR database mapping, data structure, Python, Confluence, Linux",5.0,12.0
ACN - Applied Intelligence - C4DI - Data Modelling - 06,Accenture,Bangalore/Bengaluru,"Data Modelling, IT Skills, Machine Learning, Cloud, Computer science, Automation, Database design, Analytical",5.0,7.0
Technical Manager - Data Analytics,IHS Markit,Bangalore/Bengaluru,"written, Azure, Data Analytics, GCP, agile, AWS, Python, oral communications",3.0,8.0
Scientific Manager - Data Science,Perfect Day,Bangalore/Bengaluru,"Data Science, Biotechnology, Mysql, Sql Server, Data Management, Data Architecture, Aws, Data Analytics",4.0,6.0
Big Data / Polyglot Developer,THEBES IT SOLUTIONS (INDIA) PRIVATE LIMITED,Bangalore/Bengaluru,"Polyglot, big data, python, C++, java, spark, CI, SCALA",5.0,10.0
Hiring For Big Data Developer(Spark&Scala)|| Coforge (NIIT Tech),Coforge,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Greater Noida","SCALA, Spark, IT Skills, Cloud, Oracle, Big Data, Jenkins",3.0,8.0
ACN - Applied Intelligence - C4DI - Data Modelling - 09,Accenture,Bangalore/Bengaluru,"Data Modelling, Machine Learning, Analytics, IT Skills, Testing, Data Science, Cloud, Oracle",3.0,6.0
"Advisor, Data Science",Dell Technologies,"Hyderabad/Secunderabad, Bangalore/Bengaluru",data science,5.0,8.0
Big Data/ Polyglot Developer,HCL Technologies,"Pune, Bangalore/Bengaluru","Bigdata, Postgres, hadoop, Python, HDFS, Hive, YARN, DML",12.0,15.0
Data Science Professional,Hinduja Global,Bangalore/Bengaluru,"Data Science, Visualization, Power BI, Tableau, project documentation",4.0,7.0
"Advisor, Data Science",Dell Technologies,Bangalore/Bengaluru,"AI, Data Modeling, Machine Learning, Statistical tools, PowerBI, Teradata, Stakeholder management, SQL",2.0,4.0
Machine Learning Data Science Practitioner,Accenture,Pune,"Architecture, data science, Consulting, Machine learning, Python, IT Skills, Big Data, deep learning",3.0,5.0
Data Science Manager,Accenture,Pune,"Supply chain, Consulting, QlikView, Analytics, Python, IT Skills, Tableau, Business process",8.0,13.0
Data Steward,Invesco,Hyderabad/Secunderabad,"Data Steward, data management, Alteryx, Analytics, sales, CDP, Aera analytics and data quality, Marketing",15.0,20.0
SDET - data science,CRED,Bangalore/Bengaluru,"automation framework, Object oriented design, Backend, Manager Quality Assurance, NoSQL, Analytical, Machine learning, Workflow",6.0,10.0
"Data Science Manager II, Core Analytics and Science",Uber,Bangalore/Bengaluru,"Product management, Computer science, Staffing, Analytical, Project management, Product portfolio, Machine learning, Strategic planning",2.0,7.0
ACN - Applied Intelligence - Data & Insights - Energy - 05,Accenture,Bangalore/Bengaluru,"IT Skills, Testing, Machine Learning, Process automation, Strategy consulting, Service delivery, Client solutions, Business analysis",4.0,6.0
Senior Data Engineer - Hadoop/Spark/Kafka,Sisna Technology,Chennai,"Cloud, ETL, Python, DAX Power BI, Power BI, Data Pipeline, Scala, Hadoop",4.0,6.0
Senior Data Engineer - Python/Scala,Serving Skill,"Noida, Mumbai, Pune, Chennai","Scala, Apache Spark, SQL, Linux, Python, AWS Lambda, PostgreSQL, Data Management",2.0,7.0
Azure Data Enginner,Carbynetech India,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Azure, ADB, communication, Data warehouse, Snowflake, written, azure cloud, ADF",3.0,8.0
Big Data Developer,RCPC,Bangalore/Bengaluru,"big data, SQL queries, HQL, cloudera Hadoop ecosystem, Spark and Kafka",8.0,10.0
Senior Data Engineer - Python/Scala,Serving Skill,"Noida, Mumbai, Pune, Chennai","Linux, SQS, Docker, Git, Scala, RDS, EC2, SQL",15.0,18.0
Senior Data Engineer - Python/Scala,Serving Skill,"Noida, Mumbai, Pune, Chennai","IT Skills, Python, AWS, AWS Lambda, Hive, SQS, Linux, Scala",6.0,8.0
Data Consultant: Data Strategy,IBM,Bangalore/Bengaluru,"Telecom, Data migration, Db2, Analytical, Network operations, Datastage, Presales, Data quality",8.0,10.0
Machine Learning Data Science Practitioner,Accenture,Bangalore/Bengaluru,"Architecture, data science, Analytical, Consulting, Machine learning, SCALA, Agile, Oracle",12.0,15.0
Microsoft Azure Data Services Application Developer,Accenture,Bangalore/Bengaluru,"RDBMS, Informatica, SSIS, Middleware, Python, T - SQLE, Azure SQL, ETL",2.0,4.0
Microsoft Azure Data Services Application Developer,Accenture,Bangalore/Bengaluru,"RDBMS, Informatica, SSIS, Middleware, Python, Azure SQL, T - SQL, ETL",3.0,7.0
Cloud Data Architecture Data Architect,Accenture,Bangalore/Bengaluru,"GCP, Dataflow, communication, Google BigQuery, Cloud Data Architecture, Dataproc, IT Skills, Cloud",8.0,10.0
Data Analytics and Interpretation Application Developer,Accenture,Bangalore/Bengaluru,"IT Skills, Testing, Business process, Business analysis, XML, Financial Instruments, Consulting, SCALA",2.0,3.0
Data & Analytics Tech - Big Data- Manager,PwC,Bangalore/Bengaluru,"RDBMS, data security, GCP, Analytical, MySQL, QlikView, Oracle, Analytics",8.0,10.0
Cloud Data Architecture Application Developer,Accenture,Bangalore/Bengaluru,"IT Skills, Java, Python, Cloud, Big Data, AWS, Azure, Business process",12.0,14.0
Data Architect,Schneider Electric,Bangalore/Bengaluru,"Communication Skills, Azure, Data Quality, Business Rules, Data Architect, Big Data, Data Engineer, Aws",10.0,16.0
Cloud Data Architecture Application Developer,Accenture,Bangalore/Bengaluru,"Business process, HP data protector, GCP, Consulting, SCALA, Cloud, Agile, Regulatory compliance",3.0,8.0
Data & Analytics Tech - GCP - Manager,PwC,Bangalore/Bengaluru,"Performance tuning, NoSQL, Data management, GCP, cassandra, MongoDB, Operations, Analytics",5.0,10.0
Gcp Data Architect,Wipro,"Hyderabad/Secunderabad, Bangalore/Bengaluru, India","GCP, Bigquery, data modeling, Greenplum, Python, Teradata, IT Skills, Cloud",4.0,9.0
Data Science Manager - SAP Procurement Data Science Team,SAP India Pvt.Ltd,Bangalore/Bengaluru,"Data Science, R, Python, IT Skills, Java, Machine Learning, Cloud, SAP",6.0,11.0
Python _Django with Strong data Structure & algorithm experience.,Tech Mahindra,"Hyderabad/Secunderabad, Bangalore/Bengaluru","python, django, Algorithms, OOPS, Data Structures, Dialogflow, mySQL, object oriented programming",3.0,6.0
Functional Data Architect,Kimberly-Clark Lever Limited,Bangalore/Bengaluru,"Automation, Data analysis, metadata, Configuration management, SPSS, Oracle, Teradata, Analytics",1.0,2.0
AWS Solutions Architect - Data & Analytics,Baker Hughes,Bangalore/Bengaluru,"Data management, Analytical, Cloud, Manager Technology, Data analytics, Dms, big data, Information technology",1.0,2.0
Data Modeler,Schneider Electric,Bangalore/Bengaluru,"Etl Tool, Communication Skills, Data Management, Cloud, Big Data, Data Visualization, Web Analytics, Informatica",2.0,3.0
Business Transformation Consultant: Big Data,IBM,Bangalore/Bengaluru,"Coding, Analytical, Debugging, Ab Initio, Oracle, Teradata, Business intelligence, Monitoring",8.0,13.0
Data Engineer_Bangalore,Trigent,Bangalore/Bengaluru,"Data Engineer, python, spark, Django, SCALA, talend, pyspark, hadoop",3.0,5.0
Data Architect/Functional data expert,Schneider Electric,Bangalore/Bengaluru,"Supply chain, data domain, Architecture, TOGAF, data security, Business Data Analyst, Data Architect, Data quality",3.0,5.0
Data Architect,Capco,Bangalore/Bengaluru,"Data Quality, Project Management, Continuous Improvement, Sql Server, Data Management, Data Analysis, Etl, Quality Assurance",3.0,8.0
Big Data - Spark / Scala,KPMG,Bangalore/Bengaluru,"Scala, Hadoop, Cloud, Big Data Engineer, Data Lake, Aws, Performance Tuning, Sql Queries",7.0,10.0
Data Integration Expert,Siemens,Bangalore/Bengaluru,"Computer science, RDBMS, Database design, Schema, Data quality, Informatica, Teradata, Monitoring",4.0,7.0
Big Data Developer,Virtusa,"Chennai, Hyderabad","python, Scala, Hadoop, Spark, IT Skills, Big Data, Hadoop Map Reduce, Spark Programming",7.0,10.0
Senior Data Engineer,First Employer,"Pune, Gurgaon/Gurugram","Matplotlib, Numpy, Pandas, Spark, Mysql, pyspark, Python, IT Skills",7.0,10.0
Big Data Developer,Nineleaps,Bangalore/Bengaluru,"IT Skills, Python, Testing, Cloud, Big Data, AWS, Performance tuning, Coding",0.0,3.0
Senior Data Engineer,First Employer,"Pune, Delhi / NCR","pyspark, Spark, Python, Matplotlib, Numpy, Pandas, Mysql, IT Skills",6.0,10.0
Senior Data Engineer,Job Fittment Finder,"Pune, Delhi / NCR","pyspark, Spark, Python, IT Skills, Machine Learning, Artificial Intelligence, Cloud, Matplotlib",4.0,7.0
BIG Data Developers,MARSIAN Technologies,Pune,"IT Skills, Java, Elastic Search, Big Data, Multithreading, NoSQL, Architecture, Manager Technology",5.0,8.0
Senior Data Engineer,Successr HR Tech PVT LTD,Hyderabad/Secunderabad,"Data Science, Data Engineer, SQL Queries, IT Skills, Python, Cloud, MS SQL, Big Data",6.0,10.0
Senior Data Engineer - ETL/SQL/Snowflake DB,Welink,"Mumbai, Pune","SQL, MongoDB, Snowflake, IT Skills, Cloud, Snowflake DB, Data Modeling, Data Analytics",5.0,6.0
Senior Data Engineer - Hadoop/Python/Big Data,Career Infosystem,Hyderabad/Secunderabad,"PySpark, Python, Spark SQL, Hadoop, Airflow, Spark, Talend, SSIS",7.0,12.0
Senior Data Engineer,Successr HR Tech PVT LTD,Hyderabad/Secunderabad,"Data Engineering, SQL Queries, Stored Procedures, python, No SQL, ETL, PowerBI, Tableau",2.0,7.0
Senior Data Engineer - Python/AWS,Future India Services,"Mumbai, Pune","HDFS, Hive, DynamoDB, Athena, Agile, Informatica, Nifi, Oracle HCM Cloud",7.0,12.0
Senior Manage R/ Data Engineer - KPO,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,"Data Architect, Data Management, Data Warehousing",6.0,8.0
Senior Manager/Data Engineer,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,"Data Architect, Data Management, Data Warehousing",3.0,5.0
Senior Manager / Data Engineer - KPO,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,"networking, cloud architectures, Software Development, Data Architect, Data Management, access management, Data Warehousing",2.0,7.0
Senior Data Engineer,Successr HR Tech PVT LTD,Hyderabad/Secunderabad,"MS SQL, Data Engineering, SQL Queries, No SQL, PowerBI, Stored Procedures, Tableau, Big Data",3.0,6.0
Senior Software Engineer - Java/Big Data,MNR Solutions Private Limited,Gurgaon/Gurugram,"IT Skills, Java, Oracle, Big Data, Linux OS, RDBMS, OOAD, Unix OS",4.0,9.0
Senior ManageR/Data Engineer - KPO,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,"Life Cycle, Software Development, Access Management, People Skills, Data Management, Senior Management, Data Warehousing, ETL",2.0,7.0
Ld. Data Mgmt Anlyst,BNY Mellon,Pune,"Computer science, Database design, Data modeling, Reconciliation, Management, Distribution system, Data warehousing, Monitoring",4.0,9.0
"Java/big Data Developer,exempt -- Non Officer, #2054",Credit Suisse,"Pune, Pune","IT Skills, Java, Python, Testing, Tableau, Big Data, Developer",4.0,9.0
Senior Manager / Data Engineer - KPO,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,"cloud architecture, Data Warehousing, ETL, Data Management, access management, Data Marts, SDLC",4.0,6.0
Job | Hiring Big Data Developer | Immediate To 30 days Joiners,Synechron,Pune,"Spark, Scala, Java, IT Skills",12.0,15.0
"Java/big Data Developer,exempt -- Non Officer, #2054",Credit Suisse,"Pune, Pune","Java, Developer, Big data",4.0,6.0
Senior Database Engineer - Data Warehousing & Modeling,Talpro,Gurgaon/Gurugram,"IT Skills, Product Management, Database Administration, SQL Development, Data Modeling, Business Planning, Database Design, Project Delivery",5.0,8.0
Sr Data Analytics Engineer - Topological Architecture,cliqhr.com,Pune,"IT Skills, Cloud, Capacity And Availability Management, System Architecture, Data Analytic, Data Analytics, Python",2.0,7.0
Data Engineer,Hucon Solutions,"Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru","cloud data, IT Skills, Cloud, R, Bigquery, Product Marketing, Tableau, AWS",8.0,13.0
Lead Data Engineer,JOHNSON ELECTRIC PRIVATE LIMITED,Chennai,"SQL, Data Science, Python, C#, Matplotlib, Spark Code, Power Bi, Big Data",6.0,10.0
Big Data Engineer ( Python/ Java/ Spark SQL/Spark Dataframe ),Ziolite,"Noida, Indore, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru","Big Data, Python, Autosys, Communication, SparkQL, Shell script, Oozie, Spark Dataframe",8.0,13.0
Cloud Data Engineering Lead,Vichara Technologies,"Pune, Bangalore/Bengaluru, Delhi / NCR","Spark, Azure SQL, AWS Redshift, Redshift, Warehouse, Azure, Glue, SQL",3.0,6.0
Technical Lead Data Engineer,Crisp Analytics or Lumiq,"Noida, Pune, Chennai, Mumbai (All Areas)","IT Skills, Java, Python, Cloud, Project Management, Big Data, AWS, azure databricks",12.0,15.0
"Lead/Staff Data Engineer (Hadoop, Spark), SMAI",Micron Tech,Hyderabad/Secunderabad,"Hadoop, big data processing, Spark, Azure, Cloud DW, Big Data, OLAP, Flume",1.0,5.0
Data Engineer ( Python ),Connexions,Bangalore/Bengaluru,"Python, S3, Apache Airflow, Hive, Glue, EMR, Kafka RabbitMq, Athena",3.0,6.0
Lead Data Engineer,DATAECONOMY,"Hyderabad/Secunderabad, Pune","SAN, Backend, Data management, GCP, TDD, SOC, Cosmos, SQL",3.0,8.0
Data Engineer- SQL/Python,iMindYourBusiness,Bangalore/Bengaluru,"Python, IT Skills, Data Science, Cloud, AWS, RESTful API, SAS, Django",6.0,9.0
Data Engineers | Permanent with leading product based MNC | Bangalore,SPRP,Bangalore/Bengaluru,"Data Engineering, data warehouse, data warehousing, etl",8.0,13.0
Lead Data Engineer,whiz.ai,Pune,"Nosql, Shell Scripting, Hadoop, Data Engineer, Data Modeling, Data Processing, Etl, Aws",8.0,12.0
Lead Big Data Engineer,Ontic,Noida,"Automation, Data management, GCP, Machine learning, SCALA, Business continuity, Operations, Analytics",5.0,10.0
Technical Manager/Lead Data Engineer Analytics,Grazitti Interactive,Mohali,"ETL, POWER BI, Kinesis, Apache, PySpark, analytical, Unix, Amazon AWS",5.0,10.0
Lead Data Engineer,Digital Group InfoTech Pvt Ltd,Pune,"SSIS, Recruitment Lead, SQL, Python",6.0,9.0
Lead Data Engineer,Anicalls,Noida,"Airflow, Redshift, AWS Redshift, CICD, Netezza, communication, object - oriented development, verbal",7.0,12.0
Lead Data Engineer,Anicalls,Mumbai,"Data migration, Architecture, Data modeling, GCP, Schema, Agile, Data analytics, Data warehousing",7.0,12.0
Lead Data Engineer- Full-Time Role- Hyderabad Location,Pythian,Hyderabad/Secunderabad,"Data Engineering, Data Warehousing, AWS, IT Skills, Java, Python, Cloud, Azure",7.0,10.0
Lead Data Engineer,Clairvoyant India Pvt. Ltd,Pune,"Technical training, Junior Staff, orchestration, Architecture, Agile development, Scrum, Data quality, Open source",3.0,7.0
Lead Data Engineer IT - BDA,Micron Tech,Hyderabad/Secunderabad,"T-SQL, Business Intelligence, Data Warehousing, ETL, Analytics, SSAS, Power Bi, MS SQL Server",2.0,5.0
Lead Data Engineer,eNFLUENCE IT Services Pvt. Ltd.,Hyderabad/Secunderabad,"DevOps, CI/CD pipelines, Postgres database, Agile development, AWS/Azure data services, dimensional data modeling, Python, database architecture",6.0,10.0
Lead Data Engineer,MG GLOBAL,Mumbai,"Solution design, Front office, Business transformation, Data modeling, Analytical, Management consulting, Actuarial, Customer service",8.0,10.0
Lead Data Engineer,M&amp;G plc,Mumbai,"Solution design, Front office, Business transformation, Data modeling, Analytical, Management consulting, Actuarial, Customer service",7.0,12.0
Lead - Data Engineer,Orion Systems Integrators,Chennai,"IT Skills, Python, Testing, Cloud, SAN, Data migration, French, Business transformation",5.0,11.0
Lead Data Engineer,Advance Auto Parts,Hyderabad/Secunderabad,"data cleansing, Data management, GCP, Database design, Schema, data governance, Data quality, Business intelligence",3.0,5.0
Data Engineer Lead / Architect - Python/ Spark/SQL,Techstar Software Development India Pvt. Ltd.,Pune,"SQL, Spark, Python, Golang, Java, SaaS, Algorithm, Data Structure",6.0,10.0
Lead Data engineer,Alation,Chennai,"Data Science, Big Data, Data Engineer, Data Warehousing, Aws, Etl, Machine Learning, Data Governance",3.0,6.0
Big Data Developer/Big Data Engineer (Analytics),Confidential,Gurgaon/Gurugram,"Big Data, ORC, Scala, PySpark, Cloudera, Hadoop, Cassandra, HDFS",5.0,10.0
Lead Data Engineer,Zepto,Mumbai,"Database design, Data modeling, Script writing, data governance, test driven development, Business strategy, Analytics, SQL",0.0,2.0
Lead - Data Engineer,Sutherland Global Services Inc,Hyderabad/Secunderabad,"Ms Sql Server, Linkedin, Technical Support, Data Visualization, Etl, Talent Acquisition, Recruitment",5.0,10.0
Lead Data Engineer,Prevalent AI India Private Limited,"Kochi, Kakinada","Computer science, Solution architecture, metadata, Data management, Project management, Data structures, SIP, Open source",1.0,5.0
Freshers / Junior Developers - Data Science | Geakminds | Chennai,Geakminds Technologies Private Limited,Chennai,"Machine Learning, Python, SQL, Spark, Kafka, Power BI, Azure, AWS",4.0,7.0
Azure Data Lead Engineer,Anicalls,Mumbai,"Azure, Azure store, Databricks, Azure Data Factory, Azure DevOps, verbal, Azure Stream Analytics, communication",3.0,7.0
Associate Data Quality Assurance Analyst,OMPRIME TECHNOLOGY PRIVATE LIMITED,"Pune, Gurgaon/Gurugram, Delhi / NCR","Customer Support, Quality Assurance, Travel Agency, Training, Data Quality, Excel, Feedback, Calling",6.0,11.0
Senior Big Data Engineer,Kelly Outsourcing and Consulting Group India Priv ate Limited,"Pune, Bangalore/Bengaluru","Bigdata Technologies, Spark, Kibana, analytical, PowerBI, PySpark, scikit, Tableau",3.0,7.0
Data Engineering Analyst,Peopleplus Professional Services Pvt. Ltd.,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru","Angularjs, Microservice Based Architecture, Java Fullstack, Java, UX, Wireframe, D3JS, Devops",3.0,5.0
Senior Big Data Engineer | immediate joiners only |salary upto 18 lpa,Experis IT Private Limited,Bangalore/Bengaluru,"spark, kafka, SCALA, big data, IT Skills, AWS, hive, streaming",5.0,9.0
Senior Data Engineer,SPOTTABL TECHNOLOGIES PRIVATE LIMITED,Bangalore/Bengaluru,"python, Pandas, aws, oral communication, git, CI / CD, subversion, Jenkins",3.0,8.0
"Sr. Data Engineer- python,sql,API _ Permanent Work from Home",Bytes To Bots Consultancy Services Private Limited,Bangalore/Bengaluru,"database design, APIs, management, Docker, Python, Unix, Git, Data Management",5.0,10.0
Senior Data Engineer,FUTURES AND CAREERS,Bangalore/Bengaluru,"Spark Streaming, Airflow, Hive, Kafka, Spark, AWS S3, Data modeling, Python",3.0,8.0
Senior Data Engineer,COGNOTIZ TECHNOLOGIES PRIVATE LIMITED,"Hyderabad/Secunderabad, Bangalore/Bengaluru","big data, databases, Informatica, Data Marts, RDBMS, Kafka, analytical, Scala",7.0,10.0
Sr.Data Engineer,WENGER & WATSON BUSINESS SYSTEMS PRIVATE LIMITED,Bangalore/Bengaluru,"python, spark, hadoop, Oozie, Scala, troubleshooting, HIVE, Java",3.0,5.0
Sr. Data Engineer (Immediate Joiner),Talent Corner HR Services Pvt Ltd,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Python, Hadoop, Spark, Data Architecture, ETL, object - oriented, Data Modeling, Java",4.0,8.0
Junior Data Engineer - Java Programming,Serving Skill,Bangalore/Bengaluru,"IT Skills, Java, J2EE, Software Development, Testing, Cloud, DevOps, Jenkins",5.0,8.0
Senior Data Engineer,Acme Services,Bangalore/Bengaluru,"Communication Skills, Data Engineering, Written Communication, ETL, Python, Verbal",3.0,5.0
Sr Big Data Engineer,Swift Strategic Solutions Inc,Bangalore/Bengaluru,"Pyspark, SPARK, Python scripting, HDFS, KAFKA, Scoop, Hive, Shell Scripting",8.0,13.0
